STATION,NAME,DATE,PRCP,TAVG
PP000092035,"PORT MORESBY W.O., PP",1980-04,0.24,82.3
PP000092035,"PORT MORESBY W.O., PP",1980-05,0,82.1
PP000092035,"PORT MORESBY W.O., PP",1980-06,0.08,79.6
PP000092035,"PORT MORESBY W.O., PP",1980-07,0.16,79.6
PP000092035,"PORT MORESBY W.O., PP",1980-08,0.63,80
PP000092035,"PORT MORESBY W.O., PP",1980-09,0.2,79.4
PP000092035,"PORT MORESBY W.O., PP",1980-10,0,81.7
PP000092035,"PORT MORESBY W.O., PP",1980-11,0.31,83.1
PP000092035,"PORT MORESBY W.O., PP",1980-12,8.35,82.8
PP000092035,"PORT MORESBY W.O., PP",1981-01,11.97,81.6
PP000092035,"PORT MORESBY W.O., PP",1981-02,3.27,81.7
PP000092035,"PORT MORESBY W.O., PP",1981-03,6.1,80.9
PP000092035,"PORT MORESBY W.O., PP",1981-04,6.1,81.3
PP000092035,"PORT MORESBY W.O., PP",1981-05,2.2,82
PP000092035,"PORT MORESBY W.O., PP",1981-06,1.97,80.8
PP000092035,"PORT MORESBY W.O., PP",1981-07,0.55,81.6
PP000092035,"PORT MORESBY W.O., PP",1981-08,0.91,79.3
PP000092035,"PORT MORESBY W.O., PP",1981-09,0.31,82
PP000092035,"PORT MORESBY W.O., PP",1981-10,1.61,82.6
PP000092035,"PORT MORESBY W.O., PP",1981-11,2.05,84.2
PP000092035,"PORT MORESBY W.O., PP",1981-12,11.54,82
PP000092035,"PORT MORESBY W.O., PP",1982-01,10.63,82
PP000092035,"PORT MORESBY W.O., PP",1982-02,3.46,81.4
PP000092035,"PORT MORESBY W.O., PP",1982-03,10.87,81.2
PP000092035,"PORT MORESBY W.O., PP",1982-04,0.91,80.8
PP000092035,"PORT MORESBY W.O., PP",1982-05,2.64,79.9
PP000092035,"PORT MORESBY W.O., PP",1982-06,0.04,77.6
PP000092035,"PORT MORESBY W.O., PP",1982-07,0.2,76.9
PP000092035,"PORT MORESBY W.O., PP",1982-08,5.35,76.7
PP000092035,"PORT MORESBY W.O., PP",1982-09,0,78.1
PP000092035,"PORT MORESBY W.O., PP",1982-10,0.04,80
PP000092035,"PORT MORESBY W.O., PP",1982-11,0,80.8
PP000092035,"PORT MORESBY W.O., PP",1982-12,0.12,84.4
PP000092035,"PORT MORESBY W.O., PP",1983-01,2.09,84.1
PP000092035,"PORT MORESBY W.O., PP",1983-02,3.86,82.8
PP000092035,"PORT MORESBY W.O., PP",1983-03,6.42,82.8
PP000092035,"PORT MORESBY W.O., PP",1983-04,3.66,83
PP000092035,"PORT MORESBY W.O., PP",1983-05,2.95,82.3
PP000092035,"PORT MORESBY W.O., PP",1983-06,0.63,81.2
PP000092035,"PORT MORESBY W.O., PP",1983-07,0.98,80
PP000092035,"PORT MORESBY W.O., PP",1983-08,0.39,80.7
PP000092035,"PORT MORESBY W.O., PP",1983-09,0.98,81.7
PP000092035,"PORT MORESBY W.O., PP",1983-10,1.81,82.5
PP000092035,"PORT MORESBY W.O., PP",1983-11,1.26,83.2
PP000092035,"PORT MORESBY W.O., PP",1983-12,6.3,82.4
PP000092035,"PORT MORESBY W.O., PP",1984-01,8.19,82.1
PP000092035,"PORT MORESBY W.O., PP",1984-02,11.38,81.4
PP000092035,"PORT MORESBY W.O., PP",1984-03,6.1,80.7
PP000092035,"PORT MORESBY W.O., PP",1984-04,2.17,81.5
PP000092035,"PORT MORESBY W.O., PP",1984-05,0.79,81.2
PP000092035,"PORT MORESBY W.O., PP",1984-06,1.81,79.8
PP000092035,"PORT MORESBY W.O., PP",1984-07,1.06,78.7
PP000092035,"PORT MORESBY W.O., PP",1984-08,1.22,79.6
PP000092035,"PORT MORESBY W.O., PP",1984-09,0.16,81.5
PP000092035,"PORT MORESBY W.O., PP",1984-10,1.61,81.2
PP000092035,"PORT MORESBY W.O., PP",1984-11,0.83,81.9
PP000092035,"PORT MORESBY W.O., PP",1984-12,5.04,82.2
PP000092035,"PORT MORESBY W.O., PP",1985-01,5.04,80.9
PP000092035,"PORT MORESBY W.O., PP",1985-02,4.49,82
PP000092035,"PORT MORESBY W.O., PP",1985-03,19.65,79.7
PP000092035,"PORT MORESBY W.O., PP",1985-04,3.31,81.7
PP000092035,"PORT MORESBY W.O., PP",1985-05,2.01,81.5
PP000092035,"PORT MORESBY W.O., PP",1985-06,3.78,79.3
PP000092035,"PORT MORESBY W.O., PP",1985-07,0.91,77.3
PP000092035,"PORT MORESBY W.O., PP",1985-08,0.08,80.5
PP000092035,"PORT MORESBY W.O., PP",1985-09,2.05,80.5
PP000092035,"PORT MORESBY W.O., PP",1985-10,1.93,81.4
PP000092035,"PORT MORESBY W.O., PP",1985-11,6.93,81.3
PP000092035,"PORT MORESBY W.O., PP",1985-12,2.56,82.2
PP000092035,"PORT MORESBY W.O., PP",1986-01,3.98,82.8
PP000092035,"PORT MORESBY W.O., PP",1986-02,5.43,81.2
PP000092035,"PORT MORESBY W.O., PP",1986-03,7.32,81.2
PP000092035,"PORT MORESBY W.O., PP",1986-04,12.52,80.3
PP000092035,"PORT MORESBY W.O., PP",1986-05,0.43,80.6
PP000092035,"PORT MORESBY W.O., PP",1986-06,2.83,80.8
PP000092035,"PORT MORESBY W.O., PP",1986-07,0.16,79.3
PP000092035,"PORT MORESBY W.O., PP",1986-08,0.28,79.5
PP000092035,"PORT MORESBY W.O., PP",1986-09,0.35,79.9
PP000092035,"PORT MORESBY W.O., PP",1986-10,1.81,82.2
PP000092035,"PORT MORESBY W.O., PP",1986-11,0.04,83.2
PP000092035,"PORT MORESBY W.O., PP",1986-12,1.81,82.5
PP000092035,"PORT MORESBY W.O., PP",1987-01,8.5,82.3
PP000092035,"PORT MORESBY W.O., PP",1987-02,12.48,81
PP000092035,"PORT MORESBY W.O., PP",1987-03,5.67,80.9
PP000092035,"PORT MORESBY W.O., PP",1987-04,4.13,80.9
PP000092035,"PORT MORESBY W.O., PP",1987-05,0,81.2
PP000092035,"PORT MORESBY W.O., PP",1987-06,0,81.1
PP000092035,"PORT MORESBY W.O., PP",1987-07,0.08,78.2
PP000092035,"PORT MORESBY W.O., PP",1987-08,0,79.4
PP000092035,"PORT MORESBY W.O., PP",1987-09,0.67,81.2
PP000092035,"PORT MORESBY W.O., PP",1987-10,0.28,82.5
PP000092035,"PORT MORESBY W.O., PP",1987-11,0.2,84.5
PP000092035,"PORT MORESBY W.O., PP",1987-12,5.04,83.8
